# Autodesk Revit 2027 default command labels
# Source (English): https://revit.downloads.autodesk.com/download/2027RVT_RTM/Docs/InProd/RVTKeyboardShortcuts.xlsx
# Source (Korean): https://revit.downloads.autodesk.com/download/2027RVT_RTM/Docs/InProd/RVTKeyboardShortcuts_kor.xlsx
# CommandId	English	Korean
Control_Revit_ExplodedViewMode	Toggle Highlight Displacement Sets	변위 세트 하이라이트 전환
Dialog_Sculpting_FormElementEditDlgbar:Control_Sculpting_FormElementSketchEdit	Edit Profile	프로파일 편집
Dialog_Sculpting_FormElementEditDlgbar:Control_Sculpting_FormElementUnconstrainProfile	Unlock Profiles	프로파일 잠금 해제
Dialog_Sculpting_FormElementEditDlgbar:Control_Sculpting_FormElementXRay	X-Ray	X-레이
Dialog_StairRamp_UnsupportedObjectWarnDbar:Control_StairRamp_UnsupportedObjectWarn	Unsupported Object	지원되지 않는 객체
Dialog_StructuralAnalysis_ManyMembersDbar:Control_StructuralAnalysis_AnalyticalMemberStartPointDef	Start/End Point Definition	시작점/끝점 정의
Dialog_StructuralAnalysis_ManyMembersDbar:Control_StructuralAnalysis_AnalyticalMemberTopPointDef	Top Point Definition	맨 위 점 정의
Dialog_Structural_ManyBcDbar:Control_Structural_AreaBc	Area Boundary Condition	면적 경계 조건
Dialog_Structural_ManyBcDbar:Control_Structural_LineBc	Line Boundary Condition	선 경계 조건
Dialog_Structural_ManyBcDbar:Control_Structural_PointBc	Point Boundary Condition	점 경계 조건
Dialog_Structural_NewStructuralBeam:Control_Structural_CreateBeamOnGrid	On Grid Lines	그리드 선에서
Dialog_Structural_TagOnPlacementDlg:Control_Structural_TagOnPlacementCheckbox	Tag on Placement	태그 삽입
Dialog_Structural_TrussEditProfileSketch:Control_Structural_AttachTrusses	Attach Top/Bottom	상단/하단 부착
Dialog_Structural_TrussEditProfileSketch:Control_Structural_DetachTrusses	Detach Top/Bottom	상단/하단 분리
Dialog_Structural_TrussEditProfileSketch:Control_Structural_EditTrussSketch	Edit Profile	프로파일 편집
Dialog_Structural_TrussEditProfileSketch:Control_Structural_ExplodeTruss	Remove Truss Family	트러스 패밀리 제거
Dialog_Structural_TrussEditProfileSketch:Control_Structural_ResetTruss	Reset Truss	트러스 재설정
Dialog_Structural_TrussEditProfileSketchRem:Control_Structural_AttachTrusses	Attach Top/Bottom	상단/하단 부착
Dialog_Structural_TrussEditProfileSketchRem:Control_Structural_DetachTrusses	Detach Top/Bottom	상단/하단 분리
Dialog_Structural_TrussEditProfileSketchRem:Control_Structural_EditTrussSketch	Edit Profile	프로파일 편집
Dialog_Structural_TrussEditProfileSketchRem:Control_Structural_ExplodeTruss	Remove Truss Family	트러스 패밀리 제거
Dialog_Structural_TrussEditProfileSketchRem:Control_Structural_RemoveTrussSketch	Reset Profile	프로파일 재설정
Dialog_Structural_TrussEditProfileSketchRem:Control_Structural_ResetTruss	Reset Truss	트러스 재설정
Dialog_Structural_VerticalSlantedColumnsDialogBar:Control_Structural_SlantedColumns	Slanted Column	경사 기둥
Dialog_Structural_VerticalSlantedColumnsDialogBar:Control_Structural_VerticalColumns	Vertical Column	수직 기둥
IDC_APPLYAREARULES_OPTIONS	Apply Area Rules	면적 규칙 적용
IDC_ATTACHTOGRID	Attach to Grid	그리드에 부착
IDC_CHANGE_SWEEP_RETURNS	Modify Returns; Modify Returns	굴곡부 수정; 굴곡부 수정
IDC_CURTA_GRID_LINE_ADD_REMOVE_SEGS	Add/Remove Segments	세그먼트 추가/제거
IDC_DETACH_WALLS_FROM_ALL	Detach:Detach All	분리:모두 분리
IDC_DRAW_ON_FACE	Draw on Face	면에 그리기
IDC_DRAW_ON_WORKPLANE	Draw on Work Plane	작업 기준면에 그리기
IDC_EDIT_LOADED_FAM	Edit Family	패밀리 편집
IDC_EDIT_SWEEP_HOST	Add/Remove Segments	세그먼트 추가/제거
IDC_EDIT_WALL_SWEEP	Add/Remove Walls; Add/Remove Walls	벽 추가/제거; 벽 추가/제거
IDC_EDIT_WITNESS_REFS	Edit Witness Lines	치수 보조선 편집
IDC_FABRIC_REHOST	Pick New Host	새 호스트 선택
IDC_FINISH_CORNICE_REVEAL	Restart Wall Sweep; Restart Reveal	벽 스윕 다시 시작; 모서리 받침 다시 시작
IDC_FINISH_SWEEP_HOST	Restart Slab Edge; Restart Gutter; Restart Fascia	슬래브 모서리 다시 시작; 거터 다시 시작; 처마돌림 다시 시작
IDC_MITER_HORIZONTAL	Horizontal	수평
IDC_MITER_NORMAL_TO_PATH	Perpendicular	수직
IDC_MITER_SWEEP_HOST	Modify Mitering	연귀 수정
IDC_MITER_VERTICAL	Vertical	수직
IDC_NEXT_JOIN	Next	다음
IDC_PICK_MAIN_HOST	Pick Primary Host	주 호스트 선택
IDC_PLACE_BY_INSERT	Place on Vertical Face; Place on Vertical Face	수직 면에 배치; 수직 면에 배치
IDC_PLACE_BY_WORKPLANE	Place on Work Plane; Place on Work Plane	작업 기준면에 배치; 작업 기준면에 배치
IDC_PLACE_BY_XFACE	Place on Face; Place on Face	면에 배치; 면에 배치
IDC_PREV_JOIN	Previous	이전
IDC_RADIO_ARC_3_PNT	Default:Start-End-Radius Arc	기본값:시작-끝-반지름 호
IDC_RADIO_ARC_CENTER	Default:Center-ends Arc	기본값:중간-끝 호
IDC_RADIO_ARC_FILLET	Default:Fillet Arc	기본값:모깎기 호
IDC_RADIO_ARC_TAN_END	Default:Tangent End Arc	기본값:접선 끝 호
IDC_RADIO_CIRCLE	Default:Circle	기본값:원
IDC_RADIO_CIRCUMSCRIBED_POLYGON	Default:Circumscribed Polygon	기본값:외접 다각형
IDC_RADIO_COPY_CURVE	Default:Pick Lines	기본값:선 선택
IDC_RADIO_FULL_ELLIPSE	Default:Ellipse	기본값:타원
IDC_RADIO_INSCRIBED_POLYGON	Default:Inscribed Polygon	기본값:내접 다각형
IDC_RADIO_LINE	Default:Line	기본값:선
IDC_RADIO_LINEAR_ARRAY	Linear	선형
IDC_RADIO_PARTIAL_ELLIPSE	Default:Partial Ellipse	기본값:부분 타원
IDC_RADIO_RADIAL_ARRAY	Radial	반지름
IDC_RADIO_RECT	Default:Rectangle	기본값:직사각형
IDC_RADIO_RETURN	Return	복귀
IDC_RADIO_SPLINE	Default:Spline	기본값:스플라인
IDC_RADIO_STRAIGHT_CUT	Straight Cut	직선 절단
IDC_REBAR_REHOST	Pick New Host	새 호스트 선택
IDC_REINFORCEMENT_SELECT_HOST	Select Host	호스트 선택
IDC_RESET_VTX_CONNECTIONS	Reset Vertex Connect	정점 연결 재설정
IDC_SCALE_GRAPH	Graphical	그래픽
IDC_SCALE_NUM	Numerical	숫자
IDC_SHIFT_CCW	Twist Left	왼쪽으로 틀기
IDC_SHIFT_CW	Twist Right	오른쪽으로 틀기
IDC_SPLINE_ADD_CONTROL	Add Control	컨트롤 추가
IDC_SPLINE_DELETE_CONTROL	Delete Control	컨트롤 삭제
IDC_VIEW_FRAME_CROPREGION_ACTIVITY	Crop (Uncrop) View	뷰 자르기(자르기 해제)
IDC_VIEW_FRAME_CROPREGION_VISIBILITY	Show (Hide) Crop Region	자르기 영역 표시(숨기기)
IDC_VTX_CTRL_ON_LOOP_0	Controls on Base	베이스의 컨트롤
IDC_VTX_CTRL_ON_LOOP_1	Controls on Top	상단의 컨트롤
IDC_WALLS_DEFINE_BEAM_SYSTEM_SLOPE	Walls Define Slope	벽 경사 정의
IDC_WALL_END_JOINABLE	Allow Join	결합 허용
IDC_WALL_END_NOTJOINABLE	Disallow Join	결합 금지
IDC_WALL_JOIN_BUTT	Butt	맞대기
IDC_WALL_JOIN_MITER	Miter	마이터
IDC_WALL_JOIN_SQUARE_OFF	Square Off	사각 정리
IDD_COLUMN_ATTACH_DETACH:ID_ATTACH_COLUMNS	Attach Top/Base	상단/베이스 부착
IDD_COLUMN_ATTACH_DETACH:ID_DETACH_COLUMNS	Detach Top/Base	상단/베이스 분리
IDD_MULTIPICK_DBAR:ID_CANCEL_MULTI_PICK_DBAR	Cancel	취소
IDD_MULTIPICK_DBAR:ID_FINISH_MULTI_PICK_DBAR	Finish	마감
IDD_MULTIPICK_DBAR:ID_SEL_MULTI_CHECK	Select Multiple	다중 선택
IDR_STRUCT_CONNECTION_BREAK	Break	끊기
IDR_STRUCT_CONNECTION_MODIFY_PARAMETERS	Modify Parameters	매개변수 수정
IDS_CONDUCTOR_CABLE_DIALOG	MEP Settings:Electrical Conductor and Cable Settings	MEP 설정:전기 도체 및 케이블 설정
IDS_RBS_ANALYTICAL_LOADZONE	Area Based Load; Create an Area Based Load	영역 부하; 영역 부하 작성
ID_ABS_IMPORT_GBXML	Import gbXML	gbXML 가져오기
ID_ACQUIRE_ASSEMBLY_VIEWS	Acquire Views	뷰 획득
ID_ACTIVATE_CONTEXTUAL_TAB	Activate the first contextual tab	첫 번째 상황별 탭 활성화
ID_ADD_ALL_LEVEL_LANDINGS	Add Landings	계단참 추가
ID_ADD_CONNECTED_LEVELS_TO_MULTISTORY_STAIRS	Connect Levels	레벨 연결
ID_ADD_ELEMENT_TO_ASSEMBLY	Add to Assembly	조합에 추가
ID_ADD_ELEMENT_TO_DIVISION	Add	추가
ID_ADD_IN_MANAGER	Add-Ins Manager	애드인 관리자
ID_ADD_LIGHT_TO_GROUP	Add to Group	그룹에 추가
ID_ADD_PARAMETER	Create Parameter	매개변수 작성
ID_ADD_REMOVE_CONNECTED_LEVELS	Connect/Disconnect Levels	레벨 연결/연결 해제
ID_ALIGN	Align	정렬
ID_ALIGNMENT_STATION_LABEL	Alignment Station; Alignment Station	선형 측점; 선형 측점
ID_ALIGNMENT_STATION_LABEL_SET	Alignment Station:Alignment Station Set	선형 측정:선형 측점 세트
ID_ALIGN_BOTTOM	Align Text Bottom	문자 아래쪽 정렬
ID_ALIGN_CENTER	Align Text Center	문자 중심 정렬
ID_ALIGN_LEFT	Align Text Left	문자 왼쪽 정렬
ID_ALIGN_MIDDLE	Align Text Middle	문자 가운데 정렬
ID_ALIGN_RIGHT	Align Text Right	문자 오른쪽 정렬
ID_ALIGN_SPAN_DIR	Align Perpendicular	수직 정렬
ID_ALIGN_TOP	Align Text Top	문자 위쪽 정렬
ID_ANALYTICAL_AUTOMATION_EDIT_LEVELS	Select Levels	레벨 선택
ID_ANALYTICAL_AUTOMATION_EDIT_MODE_ADD	Add elements	요소 추가
ID_ANALYTICAL_AUTOMATION_EDIT_MODE_CANCEL	Cancel	취소
ID_ANALYTICAL_AUTOMATION_EDIT_MODE_FINISH	Finish	마감
ID_ANALYTICAL_AUTOMATION_EDIT_MODE_REMOVE	Remove elements	요소 제거
ID_ANALYTICAL_AUTOMATION_EDIT_PLANES	Select Planes	평면 선택
ID_ANALYTICAL_AUTOMATION_EDIT_SELECTION	Select Elements	요소 선택
ID_ANALYTICAL_AUTOMATION_PLAYLIST_DYNAMO	Analytical Automation:Automation Customization	해석 자동화:자동화 사용자화
ID_ANALYTICAL_AUTOMATION_RUN	Run Automation	자동화 실행
ID_ANALYTICAL_ELEMENT_ALIGN_XAXIS	Align X Axis	X축 정렬
ID_ANALYTICAL_ELEMENT_ALIGN_ZAXIS	Flip Z Axis; Align Z Axis	Z축 반전; Z축 정렬
ID_ANALYTICAL_MODEL_AREA_LOAD_DEFINE_BOUNDARY	Define Boundary	경계 정의
ID_ANALYTICAL_MODEL_AREA_LOAD_ON_HOST	Area Load; On Host	면하중; 호스트에서
ID_ANALYTICAL_MODEL_LINE_LOAD_DEFINE_PATH	Define Path	경로 재정의
ID_ANALYTICAL_MODEL_LINE_LOAD_ON_HOST	Line Load; On Host	선하중; 호스트에서
ID_ANALYTICAL_MODEL_LOADS	Loads	하중
ID_ANALYTICAL_MODEL_MEMBERS	Analytical Member	해석 부재
ID_ANALYTICAL_MODEL_PANEL_ARC_CENTER_ENDS	Create Analytical Panel - Arc Center Ends	해석 패널 작성 - 호 중심 끝
ID_ANALYTICAL_MODEL_PANEL_ARC_FILLET	Create Analytical Panel - Fillet Arc	해석 패널 작성 - 모깎기 호
ID_ANALYTICAL_MODEL_PANEL_ARC_TAN_END	Create Analytical Panel - Arc Tangent	해석 패널 작성 - 호 접선
ID_ANALYTICAL_MODEL_PANEL_ARC_THREE_PNT	Create Analytical Panel - Arc from Three Points	해석 패널 작성 - 세 점의 호
ID_ANALYTICAL_MODEL_PANEL_CIRCLE	Create Analytical Panel - Circle	해석 패널 작성 - 원
ID_ANALYTICAL_MODEL_PANEL_FULL_ELLIPSE	Create Analytical Panel - Ellipse	해석 패널 작성 - 타원
ID_ANALYTICAL_MODEL_PANEL_LINE	Create Analytical Panel - Line	해석 패널 작성 - 선
ID_ANALYTICAL_MODEL_PANEL_PARTIAL_ELLIPSE	Create Analytical Panel - Partial Ellipse	해석 패널 작성 - 부분 타원
ID_ANALYTICAL_MODEL_PANEL_PICK_LINES	Create Analytical Panel - Pick Lines	해석 패널 작성 - 선 선택
ID_ANALYTICAL_MODEL_PANEL_POLY_CIRCUMSCRIBED	Create Analytical Panel - Circumscribed Polygon	해석 패널 작성 - 외접 다각형
ID_ANALYTICAL_MODEL_PANEL_POLY_INSCRIBED	Create Analytical Panel - Inscribed Polygon	해석 패널 작성 - 내접 다각형
ID_ANALYTICAL_MODEL_PANEL_RECT	Create Analytical Panel - Rectangle	해석 패널 작성 - 직사각형
ID_ANALYTICAL_MODEL_PANEL_SPLINE	Create Analytical Panel - Spline	해석 패널 작성 - 스플라인
ID_ANALYTICAL_MODEL_POINT_LOAD_ON_ENDPOINT	Point Load; On End Point	지점 부하; 끝점에서
ID_ANALYTICAL_MODEL_POINT_PICK_POSITION	Pick Position	위치 선택
ID_ANALYTICAL_OPENING	Opening by Face	면별 개구부
ID_ANALYTICAL_RELATIONSHIP_EDIT_MODE_ADD	Add to Relation	관계에 추가
ID_ANALYTICAL_RELATIONSHIP_EDIT_MODE_CANCEL	Cancel	취소
ID_ANALYTICAL_RELATIONSHIP_EDIT_MODE_FINISH	Finish	마감
ID_ANALYTICAL_RELATIONSHIP_EDIT_MODE_REMOVE	Remove from Relation	관계에서 제거
ID_ANALYTICAL_TO_PHYSICAL_RUN_DYNAMO	Analytical Automation:Run Analytical to Physical For Buildings	해석 자동화:해석모델 기반 실제모델 생성 실행
ID_ANNOTATIONS_DIMENSION_ALIGNED	Aligned Dimension	정렬 치수
ID_ANNOTATIONS_DIMENSION_ANGULAR	Angular Dimension	각도 치수
ID_ANNOTATIONS_DIMENSION_ARCLENGTH	Arc Length Dimension	호 길이 치수
ID_ANNOTATIONS_DIMENSION_DIAMETER	Diameter Dimension	지름 치수
ID_ANNOTATIONS_DIMENSION_LINEAR	Linear Dimension	선형 치수
ID_ANNOTATIONS_DIMENSION_RADIAL	Radial Dimension	반지름 치수
ID_ANNOTATION_SYMBOL_NEW	Annotation Symbol	주석 기호
ID_APPLY_VIEW_TEMPLATE	View Templates:Apply Template Properties to Current View	뷰 템플릿:현재 뷰에 템플릿 특성 적용
ID_APPMENU_PROJECT_OPEN	Project	프로젝트
ID_APP_ABOUT	About Autodesk Revit 2026	Autodesk Revit 2026 정보
ID_APP_EXIT	Exit Revit	Revit 종료
ID_AREA_REINFORCEMENT_SYMBOL_AUTO_PLACE	Auto Place	자동 배치
ID_ASSEMBLY_DISASSEMBLE	Disassemble	분해
ID_ATTACH_TRUSS	Attach Top/Bottom	상단/하단 부착
ID_AUTO_CEILING	Auto Ceiling	자동 천장
ID_AUTO_FINISH_JOIN	Auto Join	자동 결합
ID_AUTO_FINISH_JOIN_LOCK	Auto Join & Lock	자동 결합 및 잠금
ID_AUTO_FLOOR	Auto Floor	자동 바닥
ID_BATCH_PRINT	Batch Print	Batch Print
ID_BEAM_ANNOTATION_PLACEMENT	Beam Annotations	보 주석
ID_BEAM_SYSTEM_TAG_AUTO_PLACE	Auto Place	자동 배치
ID_BENDING_DETAIL_ADD_REMOVE_HOST	Add / Remove Host	호스트 추가/제거
ID_BENDING_DETAIL_ADD_REMOVE_HOST_PLACEMENT	Add / Remove Host	호스트 추가/제거
ID_BENDING_DETAIL_CLEAR_SELECTION	Clear Selection	선택 항목 지우기
ID_BENDING_DETAIL_CREATE_MULTIPLE	Create Details	상세 정보 작성
ID_BENDING_DETAIL_MODE_REALISTIC	Realistic	사실적
ID_BENDING_DETAIL_MODE_SCHEMATIC	Schematic	스키매틱
ID_BENDING_DETAIL_ORTHO_PLACEMENT	Align to Bar	철근에 정렬
ID_BENDING_DETAIL_PARALLEL_TO_VIEW	Parallel To View	뷰에 평행
ID_BENDING_DETAIL_PICK_HOST	Pick New Host	새 호스트 선택
ID_BENDING_DETAIL_RESET	Reset Position	위치 재설정
ID_BENDING_DETAIL_SELECT_HOST	Select Host	호스트 선택
ID_BENDING_DETAIL_SELECT_MULTIPLE	Select Multiple	다중 선택
ID_BIND_LINK_AS_GROUP	Bind Link	링크 결합
ID_BROWSER_ORGANIZATION	Browser Organization	탐색기 구성
ID_BTN_FILTER_SELECTION	Filter	필터
ID_BUTTON_BRACING_ELEVATION	Elevation; Elevation:Framing Elevation	고도; 고도:프레임 입면
ID_BUTTON_DELETE	Delete	삭제
ID_BUTTON_INTERIOR_ROOM_ELEVATION	Elevation:Building Elevation	입면:건물 입면도
ID_BUTTON_REDO	Redo	명령복구
ID_BUTTON_SELECT	Modify	수정
ID_BUTTON_STAIRS_BOUNDARY	Boundary	경계
ID_BUTTON_STAIRS_LANDING_SKETCH	Boundary	경계
ID_BUTTON_STAIRS_PATH	Stairs Path; Stair Path	계단 경로; 계단 경로
ID_BUTTON_STAIRS_RISER	Riser	라이저
ID_BUTTON_STAIRS_RUN_BOUNDARY	Boundary	경계
ID_BUTTON_TAG	Tag by Category; Tag by Category	카테고리별 태그; 카테고리별 태그
ID_BUTTON_TAG_ALL	Tag Room:Tag All Not Tagged; Tag Area:Tag All Not Tagged	룸 태그 지정:태그가 지정되지 않은 모든 항목 태그; 영역 태그 지정:태그가 지정되지 않은 모든 항목 태그
ID_BUTTON_UNDO	Undo	명령 취소
ID_CANCEL_ASSEMBLY_EDIT	Cancel	취소
ID_CANCEL_ATTACHED_GROUP_EDIT_MODE	Cancel	취소
ID_CANCEL_DPART_EDIT	Cancel Edit Mode	편집 모드 취소
ID_CANCEL_EDITOR	Finish Walkthrough	보행시선 완료
ID_CANCEL_GROUP_EDIT_MODE	Cancel	취소
ID_CANCEL_LIGHT_GROUP_EDIT	Cancel	취소
ID_CANCEL_MULTI_PICK_DBAR	Cancel; Clear Selection; Clear Selection	취소; 선택 지우기; 선택 지우기
ID_CANCEL_SFILTER_EDIT_MODE	Cancel Selection	선택사항 취소
ID_CANCEL_SKETCH	Cancel Edit Mode	편집 모드 취소
ID_CANCEL_VIEW_POSITION_EDIT_MODE	Cancel	취소
ID_CANVAS_THEME_SWITCH	Canvas Theme	캔버스 주제
ID_CBP_DISSOLVE	Dissolve	분해
ID_CEA_VIEW_ENERGY_DATA	Energy Settings	에너지 설정
ID_CHANGE_BEAM_END_REFERENCE	Change End Reference	끝 참조 변경
ID_CHANGE_CURVE_TYPE	Change Type	변경 유형
ID_CHECK_SPELLING	Check Spelling	철자 검사
ID_CLEAN_MANUALLY_ADJUSTED	Reset Manual Edge Offsets	수동 모서리 간격띄우기 재설정
ID_COLLABORATE	Collaborate	공동작업
ID_COLLABORATE_360	Collaborate in Cloud	클라우드에서 공동작업
ID_COMPONENTREPEATER_REMOVEREPEATER	Remove Repeater	리피터 제거
ID_CONCRETE_COVER	Edit Rebar Cover	보강 철근 피복 편집
ID_CONNECTOR_PICK_HOST	Pick New Host	새 호스트 선택
ID_CONTENT_CATALOG_APP	Content Catalog:Launch as App	컨텐츠 카탈로그:앱으로 실행
ID_CONTENT_CATALOG_BROWSER	Content Catalog:Launch in Browser	컨텐츠 카탈로그:탐색기에서 실행
ID_CONTENT_CATALOG_DOCKED_WINDOW	Content Catalog:Launch in Docked Window	컨텐츠 카탈로그:고정 창에서 실행
ID_CONVERT_1LINE_PATH_LAYOUT	Convert Placeholder	자리 표시자 변환
ID_CONVERT_FOLDING_LINES	Convert Folding Lines	접기 선 변환
ID_CONVERT_LINES	Convert To Model Line; Convert Lines	모델 선으로 변환; 선 변환
ID_COORDINATIONMODEL_ADD_AUTODESKDOCS	Coordination Model:Autodesk Docs	협업 모델:Autodesk Docs
ID_COORDINATIONMODEL_ADD_LOCAL	Coordination Model:Local	협업 모델:로컬
ID_COORDINATIONMODEL_CHANGESREVIEW	Coordination Model Changes	협업 모델 변경사항
ID_COORDINATION_ADD_LOCAL_ASSOCIATION	Add Association	연결 추가
ID_COORDINATION_APPLICABLE_RULES	Applicable Rules	적용 가능한 규칙
ID_COORDINATION_CHECK_CHANGES	Check Changes	변경 사항 확인
ID_COORDINATION_HIGHLIGHT_ASSOCIATIONS	Highlight Association	연관 하이라이트
ID_COORDINATION_REMOVE_ASSOCIATION	Remove Association	연관 제거
ID_COPING	Cope; Apply Coping	코핑; 코핑 적용
ID_COPY_SETTINGS	Coordination Settings	좌표 설정
ID_COPY_WATCH_CURRENT	Copy/ Monitor:Use Current Project	복사/ 감시:현재 프로젝트 사용
ID_COPY_WATCH_LINK	Copy/ Monitor:Select Link	복사/ 감시:링크 선택
ID_CPWTCH_COPY	Copy	복사
ID_CPWTCH_FINISH	Finish	마감
ID_CPWTCH_QUIT	Cancel	취소
ID_CPWTCH_SETTINGS	Options	옵션
ID_CPWTCH_WATCH	Monitor	감시
ID_CREATEFORMELEM	Create Form	양식 작성
ID_CREATEVOIDFORM	Create Form:Void Form	양식 작성:보이드 양식
ID_CREATE_ANALYTICAL_LINK	Analytical Link	해석 링크
ID_CREATE_ANALYTICAL_MODEL_PANEL	Panel:Panel by Boundary	패널:경계에 따른 패널
ID_CREATE_ANALYTICAL_MODEL_PANEL_BY_EXTRUSION	Panel:Panel by Extrusion	패널:돌출에 따른 패널
ID_CREATE_ASSEMBLY	Create Assembly	조립품 작성
ID_CREATE_DEPENDENT_VIEW	Duplicate View:Duplicate as Dependent	뷰 복제:의존적으로 복제
ID_CREATE_DORMER_OPENING_TB	Dormer Opening	지붕창 개구부
ID_CREATE_EXT_ENTITY_ANCHOR	Bolts:Anchors	볼트:앵커
ID_CREATE_EXT_ENTITY_BEAM_COPE	Cope Skewed	기울어진 코핑
ID_CREATE_EXT_ENTITY_BOLT	Bolts	볼트
ID_CREATE_EXT_ENTITY_CONTOUR	Contour Cut	등고선 절단
ID_CREATE_EXT_ENTITY_CORNER_CUT	Corner Cut	모서리 절단
ID_CREATE_EXT_ENTITY_HOLE	Bolts:Holes	볼트:구멍
ID_CREATE_EXT_ENTITY_PLATE	Plate	플레이트
ID_CREATE_EXT_ENTITY_SHEAR_STUD	Bolts:Shear Studs	볼트:전단 스터드
ID_CREATE_EXT_ENTITY_SHORTENING	Shorten	줄이기
ID_CREATE_EXT_ENTITY_WELD	Welds	용접
ID_CREATE_FASCIA_TB	Roof:Roof: Fascia	지붕:지붕: 처마돌림
ID_CREATE_FOOTING_BY_GRID_INTERSECTION	At Grid Intersection	그리드 교차에서
ID_CREATE_FOOTING_FROM_STRUCTURAL_COLUMN	At Structural Column	구조 기둥에서
ID_CREATE_GUIDE_GRID	Guide Grid	가이드 그리드
ID_CREATE_GUTTER_TB	Roof:Roof: Gutter	지붕:지붕: 거터
ID_CREATE_MULTISTORYSTAIRS	Select Levels	레벨 선택
ID_CREATE_OPENING_BY_FACE_TB	Opening by Face	면별 개구부
ID_CREATE_PARTS	Create Parts	부품 작성
ID_CREATE_SHAFT_OPENING_TB	Shaft Opening	샤프트 개구부
ID_CREATE_SHOP_DRAWING	Create Views	뷰 작성
ID_CREATE_SLAB_EDGE_TB	Floor:Floor: Slab Edge; Slab:Floor: Slab Edge	바닥:바닥: 슬래브 모서리; 슬래브:바닥: 슬래브 모서리
ID_CREATE_SOFFIT_TB	Roof:Roof: Soffit	지붕:지붕: 처마밑면
ID_CREATE_VERTICAL_OPENING_TB	Vertical Opening	수직 개구부
ID_CREATE_VIEW_TEMPLATE	View Templates:Create Template from Current View	뷰 템플릿:현재 뷰에서 템플릿 작성
ID_CREATE_WALL_OPENING	Wall Opening	벽 개구부
ID_CREATE_WALL_OPENING_TB	Wall Opening	벽 개구부
ID_CURTA_SYSTEM_PICK_FACES	Curtain System by Face	면으로 커튼 시스템 만들기
ID_CURVE_VISIBILITY_SETTINGS	Visibility Settings	가시성 설정
ID_CUT_HOST	Cut; Cut Geometry	절단; 형상 절단
ID_DATUM_PROPAGATE_EXTENTS	Propagate Extents	연장 범위
ID_DEFAULT_ROTATION_CENTER	Center of rotation on center of selection set	회전 중심을 선택 세트의 중심에 맞추기
ID_DEFINE_ROTATION_CENTER	Place center of rotation	회전 중심 배치
ID_DELETE_ROWS	Delete	삭제
ID_DEL_INNER_SEG	Delete Inner Segment	내부 세그먼트 삭제
ID_DETACH_TRUSS	Detach Top/Bottom	상단/하단 분리
ID_DETAIL_LEVEL	Additional Settings:Detail Level	추가 설정:상세 수준
ID_DETAIL_LEVEL_COARSE	Coarse Detail	낮음 상세 수준
ID_DETAIL_LEVEL_FINE	Fine Detail	높음 상세 수준
ID_DETAIL_LEVEL_MEDIUM	Medium Detail	중간 상세
ID_DIM_OPTIONS	Options	옵션
ID_DISABLE_CONSTRAINTS	Disable All	모두 사용 안 함
ID_DISABLE_CURRENT_CONSTRAINT	Disable Current	현재 항목 사용 안 함
ID_DISABLE_ENERGY_ANALYSIS	Delete Energy Model	에너지 모델 삭제
ID_DISASSOCIATE_STRUCTURAL_SYSTEMS	Remove Beam System; Remove Truss Family	보 시스템 제거; 트러스 패밀리 제거
ID_DISPLACEMENT_ADD_ELEMENT	Add to Displacement	변위에 추가
ID_DISPLACEMENT_CANCEL_EDIT	Cancel	취소
ID_DISPLACEMENT_CREATE	Displace Elements	요소 변위
ID_DISPLACEMENT_EDIT	Edit	편집
ID_DISPLACEMENT_FINISH_EDIT	Finish	마감
ID_DISPLACEMENT_PATH	Path	경로
ID_DISPLACEMENT_REMOVE_ELEMENT	Remove from Displacement	변위에서 제거
ID_DISPLACEMENT_RESET	Reset	재설정
ID_DIVIDED_ELEMENT_INTRST_LIST	Intersects:Intersecting References; Intersects:Intersects List	교차:교차 참조; 교차:교차 리스트
ID_DIVIDED_ELEMENT_INTRST_PICK	Intersects:Intersects	교차:교차
ID_DIVIDED_PATH_APPLY_LAYOUT	Layout	배치
ID_DIVIDED_PATH_SHOW_COMP	Component	구성요소
ID_DIVIDED_PATH_SHOW_PATH	Path	경로
ID_DIVIDED_SURFACE_GRIDLINES_U	U Grid	U 그리드
ID_DIVIDED_SURFACE_GRIDLINES_V	V Grid	V 그리드
ID_DIVIDED_SURFACE_SHOW_COMP	Component	구성요소
ID_DIVIDED_SURFACE_SHOW_PTRN	Pattern	패턴
ID_DIVIDED_SURFACE_SHOW_SURF	Surface	표면
ID_DIVIDED_VOLUME_INTRST_LIST	Intersecting References	교차 참조
ID_DIVIDE_PATH	Divide Path; Divide Path	경로 분할; 경로 분할
ID_DRAW_SLAB_SHAPE_LINES	Add Split Line	분할선 추가
ID_DRAW_SLAB_SHAPE_VERTEX	Add Point	점 추가
ID_DUCT_1LINE_PATH	Duct Placeholder	덕트 자리 표시자
ID_DUPLICATE_EMPTY_SHEET	Duplicate Sheet:Duplicate Empty Sheet	시트 복제:빈 시트 복제
ID_DUPLICATE_SHEET_WITH_DETAILING	Duplicate Sheet:Duplicate with Sheet Detailing	시트 복제:시트 상세 복제
ID_DUPLICATE_SHEET_WITH_VIEWS	Duplicate Sheet:Duplicate with Views	시트 복제:뷰 복제
ID_DUPLICATE_WITH_DETAILING	Duplicate View:Duplicate with Detailing	뷰 복제:상세 복제
ID_EDITGROUP_ADD_TO_GROUP	Add to Group	그룹에 추가
